Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Product group,Support Level,Country,Type
Resolved,2397,Low,Email,Other,1st line support,Connor Danielovitch,21-06-2023 05:06,23-06-2023 05:06,21-06-2023 06:06,32:02.0,Within SLA,11:45.1,Within SLA,,Custom software development,Tier 1,Poland,Request
Closed,2398,Low,Email,Purchasing and invoicing,1st line support,Connor Danielovitch,21-06-2023 19:47,23-06-2023 19:47,21-06-2023 20:47,50:00.7,Within SLA,39:42.3,Within SLA,05:35.3,Ready to use Software,Tier 1,Bulgaria,Request
Closed,2399,High,Chat,Product setup,2nd line support,Heather Urry,21-06-2023 10:02,22-06-2023 10:02,21-06-2023 10:04,03:27.8,Within SLA,22:18.6,SLA Violated,43:07.2,Custom software development,Tier 2,United Kingdom,Request
Closed,2400,High,Chat,Feature request,1st line support,Nicola Wane,21-06-2023 22:56,22-06-2023 22:56,21-06-2023 22:58,57:40.3,Within SLA,57:56.4,SLA Violated,42:59.7,Ready to use Software,Tier 1,Poland,Change
Resolved,2401,Low,Chat,Other,1st line support,Connor Danielovitch,21-06-2023 18:25,22-06-2023 18:25,21-06-2023 18:27,28:56.9,SLA Violated,59:52.1,Within SLA,,Ready to use Software,Tier 1,Spain,Request
Closed,2402,Medium,Email,Feature request,1st line support,Kristos Westoll,21-06-2023 23:30,23-06-2023 23:30,22-06-2023 00:30,20:37.0,Within SLA,43:42.7,Within SLA,08:07.2,Ready to use Software,Tier 1,Germany,Change
Resolved,2403,High,Chat,Other,1st line support,Kristos Westoll,21-06-2023 11:31,22-06-2023 11:31,21-06-2023 11:33,32:38.2,Within SLA,39:04.9,Within SLA,,Custom software development,Tier 1,United Kingdom,Request
Closed,2404,Low,Email,Training request,2nd line support,Adolpho Messingham,21-06-2023 08:31,23-06-2023 08:31,21-06-2023 09:31,52:45.3,Within SLA,32:34.3,Within SLA,33:20.4,Training and Consulting Services,Tier 2,Poland,Request
In progress,2405,Medium,Email,Training request,1st line support,Connor Danielovitch,21-06-2023 18:46,23-06-2023 18:46,21-06-2023 19:46,34:19.5,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Spain,Request
In progress,2406,Medium,Email,Product setup,1st line support,Connor Danielovitch,21-06-2023 15:15,23-06-2023 15:15,21-06-2023 16:15,57:38.6,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Poland,Request
Resolved,2407,High,Email,Feature request,2nd line support,Heather Urry,21-06-2023 15:13,23-06-2023 15:13,21-06-2023 16:13,51:50.8,Within SLA,46:06.2,Within SLA,,Other,Tier 2,Poland,Change
Closed,2408,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,21-06-2023 15:24,23-06-2023 15:24,21-06-2023 15:26,25:00.4,Within SLA,48:41.0,SLA Violated,21:08.6,Training and Consulting Services,Tier 1,Germany,Request
In progress,2409,Low,Email,Product setup,1st line support,Connor Danielovitch,21-06-2023 07:58,23-06-2023 07:58,21-06-2023 08:58,53:02.9,Within SLA,,SLA Violated,,Other,Tier 1,United Kingdom,Request
Closed,2410,Low,Phone,Product setup,1st line support,Nicola Wane,21-06-2023 14:09,23-06-2023 14:09,21-06-2023 14:11,13:03.6,SLA Violated,35:13.2,Within SLA,37:27.0,Ready to use Software,Tier 1,Slovenia,Request
Resolved,2411,High,Email,Feature request,2nd line support,Heather Urry,22-06-2023 21:31,24-06-2023 21:31,22-06-2023 22:31,36:58.2,Within SLA,02:12.5,Within SLA,,Custom software development,Tier 2,Austria,Change
In progress,2412,Medium,Phone,Pricing and Licensing,1st line support,Sheela Cutten,22-06-2023 09:19,24-06-2023 09:19,22-06-2023 09:21,22:03.6,SLA Violated,,SLA Violated,,Custom software development,Tier 1,United Kingdom,Request
Resolved,2413,High,Chat,Pricing and licensing,1st line support,Sheela Cutten,22-06-2023 21:24,23-06-2023 21:24,22-06-2023 21:26,25:52.8,Within SLA,25:47.4,Within SLA,,Other,Tier 1,Czech Republic,Request
Closed,2414,Low,Email,Feature request,2nd line support,Heather Urry,22-06-2023 15:10,24-06-2023 15:10,22-06-2023 16:10,32:04.9,SLA Violated,28:52.7,Within SLA,11:42.8,Custom software development,Tier 2,Poland,Change
In progress,2415,Medium,Email,Other,1st line support,Kristos Westoll,22-06-2023 09:31,24-06-2023 09:31,22-06-2023 10:31,12:13.9,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Germany,Request
Closed,2416,Low,Chat,Product setup,1st line support,Sheela Cutten,22-06-2023 03:14,23-06-2023 03:14,22-06-2023 03:16,16:00.5,Within SLA,24:31.9,Within SLA,55:12.4,Ready to use Software,Tier 1,Poland,Request
In progress,2417,Low,Chat,Training request,2nd line support,Heather Urry,22-06-2023 05:33,23-06-2023 05:33,22-06-2023 05:35,36:01.1,SLA Violated,,SLA Violated,,Training and Consulting Services,Tier 2,Italy,Request
Closed,2418,Medium,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,22-06-2023 15:20,24-06-2023 15:20,22-06-2023 16:20,36:47.3,Within SLA,52:58.0,SLA Violated,42:03.7,Ready to use Software,Tier 2,Germany,Request
Closed,2419,Low,Phone,Pricing and Licensing,1st line support,Connor Danielovitch,22-06-2023 15:17,24-06-2023 15:17,22-06-2023 15:19,18:07.6,Within SLA,43:14.3,Within SLA,52:24.0,Custom software development,Tier 1,France,Request
Closed,2420,Medium,Chat,Other,2nd line support,Adolpho Messingham,22-06-2023 10:16,23-06-2023 10:16,22-06-2023 10:18,20:45.6,SLA Violated,53:00.2,Within SLA,28:08.6,Other,Tier 2,France,Request
Resolved,2421,Low,Phone,Other,1st line support,Kristos Westoll,23-06-2023 02:51,25-06-2023 02:51,23-06-2023 02:53,52:10.6,Within SLA,17:03.7,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Request
Resolved,2422,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,23-06-2023 02:00,25-06-2023 02:00,23-06-2023 02:02,04:43.4,SLA Violated,33:51.3,Within SLA,,Training and Consulting Services,Tier 1,Austria,Request
Closed,2423,Low,Email,Feature request,1st line support,Connor Danielovitch,23-06-2023 11:18,25-06-2023 11:18,23-06-2023 12:18,10:12.3,Within SLA,12:52.5,Within SLA,19:42.4,Ready to use Software,Tier 1,Germany,Change
Closed,2425,Medium,Email,Product setup,1st line support,Bernard Beckley,23-06-2023 13:46,25-06-2023 13:46,23-06-2023 14:46,10:55.0,Within SLA,07:51.0,Within SLA,08:49.6,Ready to use Software,Tier 1,United Kingdom,Request
In progress,2426,Low,Email,Pricing and Licensing,1st line support,Kristos Westoll,23-06-2023 20:46,25-06-2023 20:46,23-06-2023 21:46,26:43.8,Within SLA,,SLA Violated,,Custom software development,Tier 1,Germany,Request
Resolved,2429,Low,Email,Pricing and licensing,1st line support,Nicola Wane,23-06-2023 22:09,25-06-2023 22:09,23-06-2023 23:09,20:05.4,Within SLA,32:48.0,Within SLA,,Ready to use Software,Tier 1,Italy,Request
Closed,2431,High,Email,Purchasing and invoicing,1st line support,Bernard Beckley,24-06-2023 07:16,26-06-2023 07:16,24-06-2023 08:16,52:49.5,Within SLA,11:11.7,SLA Violated,41:40.2,Other,Tier 1,Italy,Request
Closed,2433,Low,Chat,Feature request,1st line support,Sheela Cutten,24-06-2023 18:39,25-06-2023 18:39,24-06-2023 18:41,40:25.5,Within SLA,35:39.9,Within SLA,30:51.5,Ready to use Software,Tier 1,Bulgaria,Change
Closed,2446,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,25-06-2023 16:40,26-06-2023 16:40,25-06-2023 16:42,42:36.7,Within SLA,32:29.7,Within SLA,07:13.3,Custom software development,Tier 2,Republic of Ireland,Request
Resolved,2447,High,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,25-06-2023 11:26,26-06-2023 11:26,25-06-2023 11:28,28:22.6,Within SLA,44:35.8,Within SLA,,Ready to use Software,Tier 1,Poland,Request
Closed,2448,Low,Email,Other,2nd line support,Michele Whyatt,26-06-2023 22:38,28-06-2023 22:38,26-06-2023 23:38,46:54.6,SLA Violated,49:29.3,Within SLA,53:11.2,Ready to use Software,Tier 2,France,Request
In progress,2449,Low,Email,Product setup,1st line support,Connor Danielovitch,26-06-2023 10:41,28-06-2023 10:41,26-06-2023 11:41,30:50.3,Within SLA,,SLA Violated,,Other,Tier 1,Italy,Request
Resolved,2450,Low,Phone,Bug report,1st line support,Sheela Cutten,26-06-2023 05:34,28-06-2023 05:34,26-06-2023 05:36,35:20.0,Within SLA,15:09.6,Within SLA,,Ready to use Software,Tier 1,Spain,Incident
Closed,2451,High,Phone,Other,2nd line support,Heather Urry,26-06-2023 12:51,28-06-2023 12:51,26-06-2023 12:53,52:11.8,Within SLA,39:07.4,Within SLA,11:49.7,Training and Consulting Services,Tier 2,United Kingdom,Request
Closed,2452,Medium,Phone,Feature request,1st line support,Connor Danielovitch,26-06-2023 05:51,28-06-2023 05:51,26-06-2023 05:53,53:35.5,SLA Violated,04:16.9,Within SLA,01:42.6,Custom software development,Tier 1,Spain,Change
Closed,2453,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,26-06-2023 11:00,28-06-2023 11:00,26-06-2023 12:00,24:52.0,Within SLA,00:36.7,SLA Violated,57:41.4,Custom software development,Tier 1,Republic of Ireland,Request
In progress,2454,Low,Phone,Other,1st line support,Connor Danielovitch,26-06-2023 11:40,28-06-2023 11:40,26-06-2023 11:42,42:19.0,Within SLA,,SLA Violated,,Custom software development,Tier 1,Germany,Request
In progress,2455,Low,Email,Pricing and Licensing,1st line support,Bernard Beckley,26-06-2023 20:30,28-06-2023 20:30,26-06-2023 21:30,44:26.6,Within SLA,,SLA Violated,,Custom software development,Tier 1,Poland,Request
Closed,2456,Medium,Phone,Feature request,1st line support,Nicola Wane,26-06-2023 07:54,28-06-2023 07:54,26-06-2023 07:56,00:32.0,SLA Violated,20:54.3,Within SLA,16:42.9,Ready to use Software,Tier 1,Bulgaria,Change
Closed,2457,Low,Chat,Bug report,1st line support,Connor Danielovitch,26-06-2023 08:29,27-06-2023 08:29,26-06-2023 08:31,31:00.8,Within SLA,18:20.9,Within SLA,32:59.2,Training and Consulting Services,Tier 1,Slovenia,Incident
Resolved,2458,Low,Email,Bug report,2nd line support,Michele Whyatt,26-06-2023 03:46,28-06-2023 03:46,26-06-2023 04:46,52:57.7,Within SLA,39:56.0,SLA Violated,,Ready to use Software,Tier 2,Slovenia,Incident
Closed,2459,Medium,Email,Feature request,2nd line support,Heather Urry,27-06-2023 23:17,29-06-2023 23:17,28-06-2023 00:17,34:01.6,Within SLA,33:12.4,Within SLA,12:27.2,Ready to use Software,Tier 2,Italy,Change
Closed,2460,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,27-06-2023 12:16,28-06-2023 12:16,27-06-2023 12:18,17:31.0,Within SLA,53:52.2,Within SLA,16:52.5,Ready to use Software,Tier 1,Spain,Request
Closed,2461,Low,Chat,Feature request,2nd line support,Heather Urry,27-06-2023 08:00,28-06-2023 08:00,27-06-2023 08:02,00:37.8,Within SLA,01:38.2,Within SLA,39:47.0,Custom software development,Tier 2,Italy,Change
In progress,2462,Low,Chat,Purchasing and invoicing,1st line support,Sheela Cutten,27-06-2023 22:45,28-06-2023 22:45,27-06-2023 22:47,48:15.7,SLA Violated,,SLA Violated,,Ready to use Software,Tier 1,Spain,Request
Closed,2463,Low,Phone,Other,1st line support,Sheela Cutten,27-06-2023 21:39,29-06-2023 21:39,27-06-2023 21:41,40:30.9,Within SLA,14:25.8,Within SLA,31:24.9,Ready to use Software,Tier 1,Poland,Request
Resolved,2464,Low,Email,Pricing and Licensing,1st line support,Nicola Wane,27-06-2023 06:19,29-06-2023 06:19,27-06-2023 07:19,31:45.8,Within SLA,54:34.5,SLA Violated,,Custom software development,Tier 1,United Kingdom,Request
Resolved,2465,High,Chat,Product setup,2nd line support,Michele Whyatt,27-06-2023 06:27,28-06-2023 06:27,27-06-2023 06:29,29:31.4,SLA Violated,25:59.6,SLA Violated,,Custom software development,Tier 2,Spain,Request
Resolved,2466,Medium,Email,Bug report,1st line support,Bernard Beckley,27-06-2023 01:10,29-06-2023 01:10,27-06-2023 02:10,50:11.2,Within SLA,52:02.0,Within SLA,,Ready to use Software,Tier 1,United Kingdom,Incident
Resolved,2467,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,27-06-2023 19:26,29-06-2023 19:26,27-06-2023 20:26,45:38.7,Within SLA,55:06.1,Within SLA,,Custom software development,Tier 2,Poland,Request
Closed,2468,Low,Chat,Product setup,1st line support,Bernard Beckley,28-06-2023 05:59,29-06-2023 05:59,28-06-2023 06:01,00:09.5,Within SLA,31:48.0,Within SLA,40:58.9,Ready to use Software,Tier 1,Poland,Request
Closed,2469,Low,Email,Pricing and licensing,1st line support,Kristos Westoll,28-06-2023 09:54,30-06-2023 09:54,28-06-2023 10:54,55:25.6,Within SLA,39:00.6,Within SLA,13:54.9,Ready to use Software,Tier 1,United Kingdom,Request
Closed,2470,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,28-06-2023 12:57,29-06-2023 12:57,28-06-2023 12:59,58:58.6,Within SLA,24:25.2,Within SLA,32:00.0,Ready to use Software,Tier 1,Germany,Request
Resolved,2471,Low,Chat,Pricing and licensing,1st line support,Kristos Westoll,28-06-2023 12:31,29-06-2023 12:31,28-06-2023 12:33,31:37.5,Within SLA,39:38.8,Within SLA,,Other,Tier 1,Poland,Request
Resolved,2473,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,28-06-2023 01:59,30-06-2023 01:59,28-06-2023 02:59,06:07.8,SLA Violated,16:02.5,Within SLA,,Training and Consulting Services,Tier 1,Germany,Request
Resolved,2475,Low,Chat,Product setup,1st line support,Connor Danielovitch,28-06-2023 05:47,29-06-2023 05:47,28-06-2023 05:49,49:34.3,Within SLA,50:52.6,SLA Violated,,Ready to use Software,Tier 1,Germany,Request
Closed,2476,High,Chat,Other,1st line support,Bernard Beckley,28-06-2023 10:12,29-06-2023 10:12,28-06-2023 10:14,15:07.1,SLA Violated,12:04.1,Within SLA,03:58.5,Custom software development,Tier 1,Poland,Request
In progress,2477,Medium,Chat,Feature request,1st line support,Bernard Beckley,28-06-2023 18:31,29-06-2023 18:31,28-06-2023 18:33,33:07.5,Within SLA,,SLA Violated,,Custom software development,Tier 1,France,Change
In progress,2478,High,Chat,Product setup,2nd line support,Adolpho Messingham,28-06-2023 18:37,29-06-2023 18:37,28-06-2023 18:39,38:45.7,Within SLA,,SLA Violated,,Custom software development,Tier 2,France,Request
Resolved,2479,Low,Email,Other,2nd line support,Heather Urry,28-06-2023 04:10,30-06-2023 04:10,28-06-2023 05:10,08:58.3,Within SLA,42:20.6,Within SLA,,Training and Consulting Services,Tier 2,Germany,Request
Resolved,2481,High,Chat,Other,1st line support,Kristos Westoll,29-06-2023 20:05,30-06-2023 20:05,29-06-2023 20:07,05:22.8,Within SLA,22:54.8,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Request
Closed,2482,Low,Email,Bug report,1st line support,Kristos Westoll,29-06-2023 02:01,01-07-2023 02:01,29-06-2023 03:01,56:51.6,Within SLA,53:38.0,Within SLA,17:18.8,Training and Consulting Services,Tier 1,Greece,Incident
Resolved,2483,Low,Email,Product setup,2nd line support,Heather Urry,29-06-2023 08:11,01-07-2023 08:11,29-06-2023 09:11,48:39.1,Within SLA,26:55.1,SLA Violated,,Other,Tier 2,Italy,Request
Resolved,2484,Medium,Email,Product setup,1st line support,Nicola Wane,29-06-2023 23:48,01-07-2023 23:48,30-06-2023 00:48,35:39.1,Within SLA,55:34.9,Within SLA,,Training and Consulting Services,Tier 1,Italy,Request
Resolved,2485,Medium,Email,Other,1st line support,Bernard Beckley,29-06-2023 01:15,01-07-2023 01:15,29-06-2023 02:15,56:03.3,Within SLA,38:43.9,Within SLA,,Training and Consulting Services,Tier 1,Austria,Request
Resolved,2486,Low,Phone,Product setup,1st line support,Bernard Beckley,30-06-2023 11:38,02-07-2023 11:38,30-06-2023 11:40,38:38.2,Within SLA,04:35.8,Within SLA,,Ready to use Software,Tier 1,Greece,Request
Resolved,2487,High,Chat,Product setup,2nd line support,Michele Whyatt,30-06-2023 01:01,01-07-2023 01:01,30-06-2023 01:03,02:50.7,Within SLA,26:05.0,Within SLA,,Other,Tier 2,Poland,Request
Closed,2488,Low,Chat,Feature request,2nd line support,Adolpho Messingham,30-06-2023 00:30,01-07-2023 00:30,30-06-2023 00:32,31:12.7,Within SLA,15:29.0,Within SLA,07:55.8,Custom software development,Tier 2,Poland,Change
Closed,2489,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,30-06-2023 11:55,01-07-2023 11:55,30-06-2023 11:57,57:20.5,Within SLA,39:20.8,Within SLA,24:20.2,Custom software development,Tier 1,Slovenia,Request
Closed,2490,Medium,Email,Product setup,2nd line support,Heather Urry,30-06-2023 03:26,02-07-2023 03:26,30-06-2023 04:26,12:24.1,Within SLA,59:00.7,Within SLA,15:04.9,Ready to use Software,Tier 2,Poland,Request
Closed,2491,High,Chat,Pricing and Licensing,1st line support,Nicola Wane,30-06-2023 11:16,01-07-2023 11:16,30-06-2023 11:18,19:23.1,SLA Violated,23:33.5,Within SLA,11:42.5,Custom software development,Tier 1,Bulgaria,Request
In progress,2492,Medium,Email,Product setup,1st line support,Connor Danielovitch,30-06-2023 01:18,02-07-2023 01:18,30-06-2023 02:18,03:00.7,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Spain,Request
Closed,2493,Low,Email,Product setup,2nd line support,Michele Whyatt,30-06-2023 08:43,02-07-2023 08:43,30-06-2023 09:43,31:16.3,Within SLA,41:34.9,SLA Violated,09:01.2,Ready to use Software,Tier 2,Poland,Request
In progress,2494,Medium,Chat,Feature request,1st line support,Sheela Cutten,30-06-2023 18:51,01-07-2023 18:51,30-06-2023 18:53,52:54.7,Within SLA,,SLA Violated,,Other,Tier 1,Greece,Change
Resolved,2495,High,Email,Feature request,2nd line support,Heather Urry,30-06-2023 11:48,02-07-2023 11:48,30-06-2023 12:48,07:48.9,Within SLA,34:09.5,SLA Violated,,Other,Tier 2,Czech Republic,Change
Closed,2496,Medium,Email,Purchasing and invoicing,1st line support,Sheela Cutten,30-06-2023 07:56,02-07-2023 07:56,30-06-2023 08:56,58:35.3,Within SLA,30:19.1,Within SLA,34:08.2,Custom software development,Tier 1,Italy,Request
In progress,2497,Low,Email,Feature request,1st line support,Kristos Westoll,01-07-2023 19:34,03-07-2023 19:34,01-07-2023 20:34,48:12.5,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,United Kingdom,Change
Closed,2498,High,Chat,Product setup,1st line support,Sheela Cutten,01-07-2023 04:08,02-07-2023 04:08,01-07-2023 04:10,09:14.0,Within SLA,42:51.1,Within SLA,24:37.5,Ready to use Software,Tier 1,Italy,Request
Resolved,2508,Medium,Phone,Other,1st line support,Nicola Wane,02-07-2023 11:43,04-07-2023 11:43,02-07-2023 11:45,43:44.0,Within SLA,52:44.5,SLA Violated,,Ready to use Software,Tier 1,Greece,Request
Closed,2509,Medium,Chat,Feature request,1st line support,Sheela Cutten,02-07-2023 15:34,03-07-2023 15:34,02-07-2023 15:36,36:18.4,Within SLA,17:20.0,Within SLA,10:04.4,Other,Tier 1,Bulgaria,Change
In progress,2510,Low,Phone,Product setup,1st line support,Sheela Cutten,02-07-2023 12:17,04-07-2023 12:17,02-07-2023 12:19,19:37.4,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,United Kingdom,Request
In progress,2511,Low,Chat,Product setup,1st line support,Nicola Wane,03-07-2023 12:38,04-07-2023 12:38,03-07-2023 12:40,42:53.1,SLA Violated,,SLA Violated,,Custom software development,Tier 1,Greece,Request
Resolved,2512,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,03-07-2023 05:38,05-07-2023 05:38,03-07-2023 06:38,56:44.5,Within SLA,37:19.7,Within SLA,,Ready to use Software,Tier 1,Czech Republic,Request
In progress,2513,Low,Email,Bug report,1st line support,Sheela Cutten,03-07-2023 22:38,05-07-2023 22:38,03-07-2023 23:38,53:31.5,Within SLA,,SLA Violated,,Custom software development,Tier 1,United Kingdom,Incident
In progress,2514,Low,Email,Bug report,1st line support,Bernard Beckley,03-07-2023 00:50,05-07-2023 00:50,03-07-2023 01:50,39:05.5,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Germany,Incident
In progress,2515,Low,Chat,Feature request,1st line support,Sheela Cutten,03-07-2023 19:13,04-07-2023 19:13,03-07-2023 19:15,14:27.4,Within SLA,,SLA Violated,,Custom software development,Tier 1,Poland,Change
Resolved,2516,Medium,Email,Product setup,1st line support,Bernard Beckley,04-07-2023 23:47,06-07-2023 23:47,05-07-2023 00:47,07:29.1,Within SLA,06:08.3,Within SLA,,Ready to use Software,Tier 1,Germany,Request
Closed,2517,Medium,Chat,Pricing and licensing,2nd line support,Adolpho Messingham,04-07-2023 02:36,05-07-2023 02:36,04-07-2023 02:38,36:41.9,Within SLA,31:19.5,Within SLA,38:45.6,Training and Consulting Services,Tier 2,Italy,Request
Resolved,2518,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,04-07-2023 00:39,06-07-2023 00:39,04-07-2023 01:39,08:13.6,Within SLA,13:45.7,Within SLA,,Ready to use Software,Tier 1,Poland,Request
Closed,2519,High,Phone,Pricing and licensing,1st line support,Bernard Beckley,04-07-2023 10:01,06-07-2023 10:01,04-07-2023 10:03,01:52.8,Within SLA,51:07.6,Within SLA,35:22.5,Ready to use Software,Tier 1,United Kingdom,Request
In progress,2520,High,Chat,Other,1st line support,Kristos Westoll,04-07-2023 13:14,05-07-2023 13:14,04-07-2023 13:16,16:13.9,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Germany,Request
Closed,2521,Low,Email,Other,2nd line support,Michele Whyatt,04-07-2023 01:40,06-07-2023 01:40,04-07-2023 02:40,13:22.4,SLA Violated,19:49.7,Within SLA,58:21.0,Custom software development,Tier 2,Republic of Ireland,Request
Closed,2522,Low,Email,Bug report,1st line support,Nicola Wane,04-07-2023 03:48,06-07-2023 03:48,04-07-2023 04:48,48:24.9,Within SLA,00:10.9,Within SLA,28:48.8,Custom software development,Tier 1,Austria,Incident
In progress,2523,Low,Chat,Bug report,2nd line support,Michele Whyatt,04-07-2023 15:19,05-07-2023 15:19,04-07-2023 15:21,20:28.2,Within SLA,,SLA Violated,,Ready to use Software,Tier 2,Austria,Incident
Closed,2525,High,Chat,Bug report,2nd line support,Adolpho Messingham,05-07-2023 12:47,06-07-2023 12:47,05-07-2023 12:49,52:06.0,SLA Violated,54:27.8,Within SLA,00:35.8,Ready to use Software,Tier 2,Slovenia,Incident
Resolved,2526,Medium,Chat,Product setup,1st line support,Kristos Westoll,05-07-2023 15:03,06-07-2023 15:03,05-07-2023 15:05,08:08.3,SLA Violated,40:48.3,Within SLA,,Ready to use Software,Tier 1,Germany,Request
Resolved,2527,Low,Email,Product setup,1st line support,Nicola Wane,05-07-2023 23:01,07-07-2023 23:01,06-07-2023 00:01,18:19.9,Within SLA,06:24.8,Within SLA,,Ready to use Software,Tier 1,Spain,Request
Resolved,2528,Medium,Email,Product setup,1st line support,Bernard Beckley,05-07-2023 21:03,07-07-2023 21:03,05-07-2023 22:03,13:43.4,Within SLA,11:44.1,Within SLA,,Custom software development,Tier 1,Poland,Request
Resolved,2529,Medium,Chat,Product setup,1st line support,Nicola Wane,05-07-2023 22:10,06-07-2023 22:10,05-07-2023 22:12,11:46.8,Within SLA,00:02.8,Within SLA,,Ready to use Software,Tier 1,Poland,Request
In progress,2530,Low,Chat,Product setup,1st line support,Sheela Cutten,05-07-2023 17:10,06-07-2023 17:10,05-07-2023 17:12,10:58.8,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Italy,Request
Closed,2532,High,Email,Feature request,1st line support,Nicola Wane,05-07-2023 14:30,07-07-2023 14:30,05-07-2023 15:30,36:50.0,Within SLA,41:47.3,Within SLA,06:21.6,Ready to use Software,Tier 1,United Kingdom,Change
Resolved,2535,Low,Chat,Product setup,1st line support,Connor Danielovitch,06-07-2023 02:48,07-07-2023 02:48,06-07-2023 02:50,49:33.4,Within SLA,49:32.5,Within SLA,,Ready to use Software,Tier 1,Italy,Request
In progress,2536,Low,Chat,Other,1st line support,Connor Danielovitch,06-07-2023 19:49,07-07-2023 19:49,06-07-2023 19:51,49:46.3,Within SLA,,SLA Violated,,Custom software development,Tier 1,Germany,Request
Closed,2537,Medium,Chat,Product setup,2nd line support,Michele Whyatt,06-07-2023 10:23,07-07-2023 10:23,06-07-2023 10:25,24:37.9,Within SLA,25:55.3,Within SLA,20:38.5,Custom software development,Tier 2,Italy,Request
Closed,2539,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,06-07-2023 13:22,08-07-2023 13:22,06-07-2023 14:22,09:12.0,Within SLA,15:47.2,Within SLA,01:43.0,Ready to use Software,Tier 1,Poland,Request
Resolved,2540,Low,Email,Other,1st line support,Kristos Westoll,06-07-2023 01:26,08-07-2023 01:26,06-07-2023 02:26,30:39.8,Within SLA,02:45.3,Within SLA,,Ready to use Software,Tier 1,Greece,Request
Closed,2541,Low,Chat,Pricing and licensing,2nd line support,Adolpho Messingham,06-07-2023 16:59,07-07-2023 16:59,06-07-2023 17:01,05:49.5,SLA Violated,12:08.6,SLA Violated,33:55.7,Ready to use Software,Tier 2,Poland,Request
Closed,2543,Low,Phone,Product setup,1st line support,Kristos Westoll,06-07-2023 08:04,08-07-2023 08:04,06-07-2023 08:06,07:20.8,SLA Violated,22:10.7,Within SLA,00:33.5,Ready to use Software,Tier 1,Germany,Request
Closed,2544,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,06-07-2023 14:05,08-07-2023 14:05,06-07-2023 15:05,10:24.3,Within SLA,40:53.1,Within SLA,29:21.1,Other,Tier 1,Spain,Request
Closed,2545,High,Chat,Bug report,1st line support,Sheela Cutten,06-07-2023 02:12,07-07-2023 02:12,06-07-2023 02:14,13:31.0,Within SLA,17:02.6,Within SLA,57:43.9,Custom software development,Tier 1,Poland,Incident
Resolved,2546,Low,Email,Feature request,2nd line support,Michele Whyatt,06-07-2023 23:36,08-07-2023 23:36,07-07-2023 00:36,45:31.5,Within SLA,17:57.2,SLA Violated,,Ready to use Software,Tier 2,United Kingdom,Change
Resolved,2547,Low,Email,Feature request,1st line support,Bernard Beckley,07-07-2023 00:03,09-07-2023 00:03,07-07-2023 01:03,23:28.0,Within SLA,42:20.5,Within SLA,,Custom software development,Tier 1,United Kingdom,Change
Resolved,2548,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,07-07-2023 13:22,09-07-2023 13:22,07-07-2023 14:22,55:06.1,Within SLA,13:09.0,Within SLA,,Ready to use Software,Tier 2,Czech Republic,Request
Resolved,2549,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,07-07-2023 11:51,08-07-2023 11:51,07-07-2023 11:53,51:24.4,Within SLA,46:17.4,Within SLA,,Ready to use Software,Tier 2,Italy,Request
In progress,2550,Low,Chat,Product setup,1st line support,Bernard Beckley,07-07-2023 14:51,08-07-2023 14:51,07-07-2023 14:53,53:11.3,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Italy,Request
Resolved,2551,High,Email,Other,1st line support,Connor Danielovitch,07-07-2023 12:22,09-07-2023 12:22,07-07-2023 13:22,48:37.3,Within SLA,00:23.3,SLA Violated,,Ready to use Software,Tier 1,France,Request
Closed,2552,Low,Email,Product setup,1st line support,Nicola Wane,07-07-2023 23:08,09-07-2023 23:08,08-07-2023 00:08,26:35.7,Within SLA,13:16.5,Within SLA,42:22.9,Training and Consulting Services,Tier 1,Germany,Request
